sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
171630	B07NLS6XWF	26.99	16																					
171631	B07NLSK6GQ	26.99	30																					
171787	B07MT65TL4	59.99	63																					
171909	B07KK235Y8	9.99	6																					
172082	B07N49HMS5	14.99	6																					
172110	B07MZKJSZ5	14.99	14																					
172111	B07MZP3747	14.99	16																					
172113	B07MZKFMY8	14.99	17																					
172117	B07MZPCMJY	14.99	7																					
172233	B07QC8ZJL6	19.99	26																					
172234	B07QC8XBZ2	19.99	29																					
172235	B07QHD22QS	19.99	31																					
172251	B081NC62SZ	19.99	28																					
172315	B07N5HTKQ8	29.99	41																					
172317	B07N5H57FN	29.99	32																					
172319	B07N5HTKQH	17.99	21																					
172422	B07SWMP7X4	9.99	24																					
172423	B07SXLH3C9	9.99	21																					
172489	B07QC6RTK6	12.99	27																					
172490	B07QJLGQWQ	8.99	26																					
172512	B07QF8PK6C	13.99	6																					
172516	B07PRSK79C	13.99	14																					
172520	B07QGDLM9G	12.99	11																					
172521	B07QGDLBJM	8.99	38																					
172522	B07QC6Q7CJ	13.99	7																					
172588	B07X5MLPWC	19.99	25																					
172630	B086BBDSKJ	19.99	21																					
172830	B07NR8Z79Z	24.99	45																					
172831	B07NRC1S1C	24.99	60																					
172832	B07NRC612H	24.99	41																					
172866	B07NRC2PPF	24.99	33																					
172868	B07NRBN6BY	24.99	59																					
172869	B07NR4W67D	24.99	53																					
172870	B07NR9D3J3	24.99	57																					
172871	B07NR9SHFX	24.99	47																					
172901	B07RZ3LBHW	29.99	20																					
172925	B07KPHL1Z6	16.99	16																					
173057	B07KPSVBJB	16.99	9																					
173058	B07KPSJV1S	16.99	8																					
173555	B07NS2JRJX	5.99	30																					
173561	B01N9M2G93	7.99	22																					
173620	B07NSY5PMJ	16.99	13																					
174089	B07Y8JZX2M	24.99	6																					
174152	B07PLT8XQ4	29.99	15																					
174360	B07QLM5FN3	5.99	16																					
174361	B07SD1G5QY	12.99	20																					
174499	B0871V4V54	14.99	25																					
174501	B0871TSQ91	14.99	17																					
174502	B0871VBWF8	14.99	57																					
174503	B0871VV6LJ	14.99	41																					
174506	B08ZLJJSSR	14.99	15																					
174507	B087CKCRT4	14.99	36																					
174509	B083Z9VPKH	14.99	11																					
174510	B0871V9XLH	14.99	30																					
174511	B087CJD8R1	14.99	27																					
174557	B07R25GTC2	29.99	16																					
174564	B07R25HMFL	17.99	34																					
174873	B07XBYHJCP	12.99	11																					
175248	B07N5Y2QV5	16.99	83																					
175253	B07N5XDLX5	16.99	96																					
175382	B07PBBX4C5	16.99	100																					
175547	B07SJ1TV2D	29.99	16																					
175555	B07QS8Y4KW	29.99	14																					
175569	B0CQMS35HR	57.99	49																					
175571	B071457BBQ	7.99	34																					
175584	B09KN3K9TV	232.99	49																					
175787	B07SZKWYZW	59.99	14																					
175919	B07QCQB2RJ	14.99	21																					
175929	B07RZ67SJC	9.99	16																					
175980	B07VGY718D	29.99	44																					
175981	B07VDVHL52	29.99	28																					
175985	B07VH647TQ	29.99	16																					
175986	B07VBPQLZT	29.99	32																					
175987	B07VDVK8ZN	29.99	21																					
175988	B07VGZQX9B	29.99	52																					
176186	B07V3Y2B4R	29.99	9																					
176356	B07Q2W4K2W	14.99	100																					
176376	B07V9PTQNQ	34.99	59																					
176486	B07RRCX5YV	29.99	66																					
176521	B07Q1JVZMS	16.99	100																					
176621	B07Q2W5QSZ	14.99	75																					
176623	B07PX3Q34L	14.99	56																					
176673	B07W45PC67	11.99	24																					
176697	B07W2Z5BBN	19.99	6																					
176842	B07PY98TCQ	16.99	36																					
176895	B07SL4ZVLH	7.99	54																					
176961	B07VQT8VL1	22.99	22																					
177516	B07XZQ2DQT	14.99	28																					
177797	B07Q54ZX79	4.99	100																					
177860	B07YLBFT76	17.99	7																					
177861	B07YLCG5YK	17.99	7																					
177903	B07XL54YY2	9.99	31																					
177931	B08VFFD2BH	39.99	32																					
177938	B08XVV3XV1	32.99	82																					
177939	B08XWBS3WM	49.99	100																					
177943	B07PVT56WB	17.99	20																					
177944	B07PVT5L62	8.99	10																					
177947	B07N6LWXQK	59.99	10																					
177969	B07T3JQ48M	39.99	20																					
177970	B07QGL9ZPY	39.99	11																					
177971	B07Q5HMC45	39.99	6																					
177993	B07PRYBFY4	19.99	34																					
178095	B07SQXGRVQ	16.99	24																					
178490	B07V1PTMZ1	19.99	1																					
178635	B084VTLSFW	29.99	64																					
178657	B07YR34LSB	19.99	2																					
178665	B07QPKQ29W	19.99	5																					
178691	B081H7SWJC	49.99	1																					
178692	B081H7STLL	49.99	8																					
178694	B081H7K9WY	49.99	6																					
178697	B07ZQMLL82	49.99	1																					
178699	B07ZQJVZ56	49.99	4																					
178774	B07RCK6RDR	12.99	7																					
178775	B07RD13WRC	12.99	23																					
178787	B07X5V35WX	7.99	35																					
178936	B07Y5HXGV2	19.99	9																					
179318	B07WSX7WCB	20.99	36																					
179319	B07W6QN8HZ	20.99	24																					
179320	B07WW1BT3B	20.99	16																					
179322	B07PWQHGKX	20.99	19																					
179323	B07WTWWHFJ	20.99	9																					
179343	B07Q2WN6RS	16.99	100																					
179344	B07NRRXXGX	16.99	100																					
179349	B07TWHH2NK	16.99	35																					
179352	B07TS8MZXX	16.99	13																					
179405	B00OYWCSUK	34.99	8																					
179424	B07Y981JF1	6.99	2																					
179433	B07Y97FR9M	19.99	4																					
179434	B07Y99XMXG	19.99	3																					
179435	B07Y99XLKV	19.99	6																					
179439	B07Y9B1MKB	19.99	4																					
179440	B07Y99XLKX	19.99	8																					
179441	B07Y9BWCKB	19.99	2																					
179564	B07Y8MKPKW	9.99	7																					
179570	B07YVQ92WX	9.99	1																					
179583	B07YZFRCQ3	6.99	1																					
179591	B07W4WJFSR	39.99	6																					
179610	B09MFY4VDM	19.99	1																					
179641	B07SPVSJFG	16.99	11																					
179698	B081T6FJP7	19.99	1																					
179699	B081TCP7S8	19.99	1																					
179728	B07Z6Y6NKC	17.99	10																					
179957	B07TVDNZFM	14.99	8																					
179958	B07TS8P2F3	14.99	39																					
179959	B07TS8MR5W	14.99	46																					
179960	B07TXLJPP6	14.99	46																					
180012	B07WPTNVK3	16.99	6																					
180109	B06XGG6NJM	7.99	11																					
180114	B0015EI2XM	7.99	57																					
180117	B07QQYHSW3	7.99	24																					
180119	B0746CX59J	7.99	13																					
