Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,POPTOYS
fk73050-friends-bitty-pop-vinyl-figure-4-pack-monica-as-catwoman-2-5-cm,"Friends Bitty POP! Vinyl Figure 4-Pack Monica as Catwoman 2,5 cm",Title,Default Title,,,,,FK73050,,,3
fk73051-friends-bitty-pop-vinyl-figure-4-pack-phoebe-2-5-cm,"Friends Bitty POP! Vinyl Figure 4-Pack Phoebe 2,5 cm",Title,Default Title,,,,,FK73051,,,3
fk76085-marvel-pop-comic-cover-vinyl-figure-deadpool-2025-1-deadpool-in-black-suit-9-cm,Marvel POP! Comic Cover Vinyl Figure Deadpool (2025) #1 Deadpool in Black Suit 9 cm,Title,Default Title,,,,,FK76085,,,3
mcf10938-warhammer-40k-action-figure-chaos-space-marines-world-eater-artist-proof-18-cm,Warhammer 40k Action Figure Chaos Space Marines (World Eater) (Artist Proof) 18 cm,Title,Default Title,,,,,MCF10938,,,3
mcf10937-warhammer-40k-action-figure-chaos-space-marines-world-eater-18-cm,Warhammer 40k Action Figure Chaos Space Marines (World Eater) 18 cm,Title,Default Title,,,,,MCF10937,,,3
mcf10934-warhammer-40k-action-figure-space-wolves-wolf-guard-artist-proof-18-cm,Warhammer 40k Action Figure Space Wolves Wolf Guard (Artist Proof) 18 cm,Title,Default Title,,,,,MCF10934,,,3
mcf10932-warhammer-40k-action-figure-space-wolves-wolf-guard-18-cm,Warhammer 40k Action Figure Space Wolves Wolf Guard 18 cm,Title,Default Title,,,,,MCF10932,,,3
mcf11218-warhammer-40k-megafigs-action-figure-terminator-artist-proof-30-cm,Warhammer 40k Megafigs Action Figure Terminator (Artist Proof) 30 cm,Title,Default Title,,,,,MCF11218,,,3
mcf11217-warhammer-40k-megafigs-action-figure-ultramarine-terminator-30-cm,Warhammer 40k Megafigs Action Figure Ultramarine Terminator 30 cm,Title,Default Title,,,,,MCF11217,,,3
gdl15079-peanuts-mug-kids,Peanuts Mug Kids,Title,Default Title,,,,,GDL15079,,,3
gdl16581-peanuts-mug-smile-giggle-laugh,Peanuts Mug Smile Giggle Laugh,Title,Default Title,,,,,GDL16581,,,3
gdl16588-peanuts-travel-mug-smile-giggle-laugh,Peanuts Travel Mug Smile Giggle Laugh,Title,Default Title,,,,,GDL16588,,,3
gdl14972-peanuts-water-bottle-love,Peanuts Water Bottle Love,Title,Default Title,,,,,GDL14972,,,3
rev05499-pirates-of-the-caribbean-dead-men-tell-no-tales-easy-click-model-kit-1-150-black-pearl-26-cm,Pirates of the Caribbean Dead Men Tell No Tales Easy-Click Model Kit 1/150 Black Pearl 26 cm,Title,Default Title,,,,,REV05499,,,3
rev00155-pirates-of-the-caribbean-dead-men-tell-no-tales-3d-puzzle-black-pearl-led-edition,Pirates of the Caribbean: Dead Men Tell No Tales 3D Puzzle Black Pearl LED Edition,Title,Default Title,,,,,REV00155,,,3
rev00318-star-wars-3d-puzzle-imperial-tie-advanced-x1,Star Wars 3D Puzzle Imperial TIE Advanced X1,Title,Default Title,,,,,REV00318,,,3
rev00319-star-wars-3d-puzzle-imperial-tie-interceptor,Star Wars 3D Puzzle Imperial TIE Interceptor,Title,Default Title,,,,,REV00319,,,3
ban01208-star-wars-episode-vi-model-kit-1-72-b-wing-fighter,Star Wars Episode VI Model Kit 1/72 B-Wing Fighter,Title,Default Title,,,,,BAN01208,,,3
rev03605-star-wars-episode-vii-model-kit-1-110-tie-fighter-7-cm,Star Wars Episode VII Model Kit 1/110 Tie Fighter 7 cm,Title,Default Title,,,,,REV03605,,,3
rev03601-star-wars-episode-vii-model-kit-1-112-x-wing-fighter-10-cm,Star Wars Episode VII Model Kit 1/112 X-Wing Fighter 10 cm,Title,Default Title,,,,,REV03601,,,3
ban01211-star-wars-episode-vii-model-kit-1-144-millennium-falcon,Star Wars Episode VII Model Kit 1/144 Millennium Falcon,Title,Default Title,,,,,BAN01211,,,3
rev03600-star-wars-episode-vii-model-kit-1-241-millennium-falcon-10-cm,Star Wars Episode VII Model Kit 1/241 Millennium Falcon 10 cm,Title,Default Title,,,,,REV03600,,,3
rev03604-star-wars-episode-vii-model-kit-1-52-snowspeeder-10-cm,Star Wars Episode VII Model Kit 1/52 Snowspeeder 10 cm,Title,Default Title,,,,,REV03604,,,3
rev03609-star-wars-model-kit-1-12300-imperial-star-destroyer-13-cm,Star Wars Model Kit 1/12300 Imperial Star Destroyer 13 cm,Title,Default Title,,,,,REV03609,,,3
rev06718-star-wars-model-kit-1-72-millennium-falcon-38-cm,Star Wars Model Kit 1/72 Millennium Falcon 38 cm,Title,Default Title,,,,,REV06718,,,3
rev06054-star-wars-model-kit-gift-set-1-57-x-wing-fighter-1-65-tie-fighter,Star Wars Model Kit Gift Set 1/57 X-Wing Fighter & 1/65 TIE Fighter,Title,Default Title,,,,,REV06054,,,3
ban01205-star-wars-plastic-model-kit-1-144-at-at,Star Wars Plastic Model Kit 1/144 AT-AT,Title,Default Title,,,,,BAN01205,,,3
ban01202-star-wars-plastic-model-kit-1-48-at-st,Star Wars Plastic Model Kit 1/48 AT-ST,Title,Default Title,,,,,BAN01202,,,3
rev06782-star-wars-the-mandalorian-model-kit-1-65-outland-tie-fighter-16-cm,Star Wars The Mandalorian Model Kit 1/65 Outland TIE Fighter 16 cm,Title,Default Title,,,,,REV06782,,,3
fk76540-star-wars-ahsoka-pop-vinyl-figure-s2-morgan-elsbeth-9-cm,Star Wars: Ahsoka POP! Vinyl Figure S2 - Morgan Elsbeth 9 cm,Title,Default Title,,,,,FK76540,,,3
fk76541-star-wars-ahsoka-pop-vinyl-figure-s2-thrawns-night-trooper-9-cm,Star Wars: Ahsoka POP! Vinyl Figure S2 - Thrawn's Night Trooper 9 cm,Title,Default Title,,,,,FK76541,,,3
fk76542-star-wars-ahsoka-pop-vinyl-figure-s2-thrawns-night-trooper-9-cm,Star Wars: Ahsoka POP! Vinyl Figure S2 - Thrawn's Night Trooper 9 cm,Title,Default Title,,,,,FK76542,,,3
rev00325-star-wars-the-mandalorian-3d-puzzle-imperial-light-cruiser,Star Wars: The Mandalorian 3D Puzzle Imperial Light Cruiser,Title,Default Title,,,,,REV00325,,,3
rev03864-top-gun-maverick-model-kit-1-48-maverick-s-f-a-18e-super-hornet-38-cm,Top Gun: Maverick Model Kit 1/48 Maverick´s F/A-18E Super Hornet 38 cm,Title,Default Title,,,,,REV03864,,,3
rev03504-world-of-tanks-model-kit-1-72-cromwell-mk-iv-8-cm,World of Tanks Model Kit 1/72 Cromwell Mk. IV 8 cm,Title,Default Title,,,,,REV03504,,,3
rev03501-world-of-tanks-model-kit-1-72-panzer-iii-9-cm,World of Tanks Model Kit 1/72 Panzer III 9 cm,Title,Default Title,,,,,REV03501,,,3
rev03502-world-of-tanks-model-kit-1-72-sturmgeschutz-iv-9-cm,World of Tanks Model Kit 1/72 Sturmgeschütz IV 9 cm,Title,Default Title,,,,,REV03502,,,3
rev03503-world-of-tanks-model-kit-1-72-tiger-ii-ausf-b-konigstiger-14-cm,"World of Tanks Model Kit 1/72 Tiger II Ausf. B ""Königstiger"" 14 cm",Title,Default Title,,,,,REV03503,,,3
fk73087-avatar-the-way-of-water-pop-movies-vinyl-figure-jake-sully-battle-9-cm,Avatar: The Way of Water POP! Movies Vinyl Figure Jake Sully (Battle) 9 cm,Title,Default Title,,,,,FK73087,,,3
fk73090-avatar-the-way-of-water-pop-movies-vinyl-figure-loak-9-cm,Avatar: The Way of Water POP! Movies Vinyl Figure Lo'ak 9 cm,Title,Default Title,,,,,FK73090,,,3
fk73088-avatar-the-way-of-water-pop-movies-vinyl-figure-neytiri-battle-9-cm,Avatar: The Way of Water POP! Movies Vinyl Figure Neytiri (Battle) 9 cm,Title,Default Title,,,,,FK73088,,,3
fk73089-avatar-the-way-of-water-pop-movies-vinyl-figure-recom-quaritch-9-cm,Avatar: The Way of Water POP! Movies Vinyl Figure Recom Quaritch 9 cm,Title,Default Title,,,,,FK73089,,,3
fk75909-black-phone-pop-movies-vinyl-figure-the-grabberbd-9-cm,Black Phone POP! Movies Vinyl Figure The Grabber(BD) 9 cm,Title,Default Title,,,,,FK75909,,,3
fk75908-black-phone-pop-movies-vinyl-figures-the-grabber-w-ch-9-cm-assortment-6,Black Phone POP! Movies Vinyl Figures The Grabber w/CH 9 cm Assortment (6),Title,Default Title,,,,,FK75908,,,3
fk30969-deadpool-pop-rides-vinyl-figure-deadpool-scooter-9-cm,Deadpool POP! Rides Vinyl Figure Deadpool & Scooter 9 cm,Title,Default Title,,,,,FK30969,,,3
fk75113-efl-pop-football-vinyl-figure-mancity-erling-haaland-9-cm,EFL POP! Football Vinyl Figure ManCity - Erling Haaland 9 cm,Title,Default Title,,,,,FK75113,,,3
fk73362-five-nights-at-freddys-action-figure-foxy-nutcracker-13-cm,Five Nights at Freddy's Action Figure Foxy Nutcracker 13 cm,Title,Default Title,,,,,FK73362,,,3
fk64217-five-nights-at-freddys-action-figure-tiedye-chica-13-cm,Five Nights at Freddy's Action Figure TieDye Chica 13 cm,Title,Default Title,,,,,FK64217,,,3
fk72486-five-nights-at-freddys-pop-games-vinyl-figure-holiday-chica-9-cm,Five Nights at Freddy's POP! Games Vinyl Figure Holiday Chica 9 cm,Title,Default Title,,,,,FK72486,,,3
fk71318-harry-potter-bitty-pop-vinyl-figure-4-pack-voldemort-2-5-cm,"Harry Potter Bitty POP! Vinyl Figure 4-Pack Voldemort 2,5 cm",Title,Default Title,,,,,FK71318,,,3
fk51155-harry-potter-pop-vinyl-figure-holiday-albus-dumbledore-9-cm,Harry Potter POP! Vinyl Figure Holiday Albus Dumbledore 9 cm,Title,Default Title,,,,,FK51155,,,3
fk69076-pokemon-pop-games-vinyl-figure-espeon-emea-9-cm,Pokemon POP! Games Vinyl Figure Espeon (EMEA) 9 cm,Title,Default Title,,,,,FK69076,,,3
222685-naruto-shippuden-leaf-novelty-cap,NARUTO SHIPPUDEN - Leaf - Novelty Cap,Title,Default Title,,,,,222685,,,22
217761-black-clover-pop-animation-n-1155-charlotte-with-chase-gitd,BLACK CLOVER - POP Animation N° 1155 - Charlotte with Chase (GITD) - RANDOM CHASE,Title,Default Title,,,,,217761,,,100
210991-attack-on-titan-backpack,ATTACK ON TITAN - Backpack,Title,Default Title,,,,,210991,,,11
210117-disney-mary-poppins-ladies-coin-purse-keychain,DISNEY - Mary Poppins - Ladies Coin Purse Keychain,Title,Default Title,,,,,210117,,,25
205570-harry-potter-gryffindor-paper-set-6pc,HARRY POTTER - Gryffindor - Paper Set 6pc.,Title,Default Title,,,,,205570,,,22
205567-disney-mickey-notebook-pencil-case-pen-giftbox,DISNEY - MICKEY - Notebook + Pencil Case + Pen - Giftbox,Title,Default Title,,,,,205567,,,46
205483-disney-minnie-pencil-case,DISNEY - Minnie Pencil Case,Title,Default Title,,,,,205483,,,45
wotcd09951000-dungeons-dragons-rpg-starterset-die-drachen-der-sturmwrack-insel-german,Dungeons & Dragons RPG Starterset: Die Drachen der Sturmwrack-Insel german,Title,Default Title,,,,,WOTCD09951000,,,3
wotcd10030001-magic-the-gathering-commander-legends-battle-for-baldurs-gate-draft-booster-display-24-english,Magic the Gathering Commander Legends: Battle for Baldur's Gate Draft Booster Display (24) english,Title,Default Title,,,,,WOTCD10030001,,,3
wotcd15041000-magic-the-gathering-dominaria-remastered-draft-booster-display-36-german,Magic the Gathering Dominaria Remastered Draft Booster Display (36) german,Title,Default Title,,,,,WOTCD15041000,,,3
wotcc97110001-magic-the-gathering-dominaria-united-draft-booster-display-36-english,Magic the Gathering Dominaria United Draft Booster Display (36) english,Title,Default Title,,,,,WOTCC97110001,,,3
wotcc78531050-magic-the-gathering-horizontes-de-modern-2-draft-booster-display-36-spanish,Magic the Gathering Horizontes de Modern 2 Draft Booster Display (36) spanish,Title,Default Title,,,,,WOTCC78531050,,,3
wotcc90600000-magic-the-gathering-innistrad-crimson-vow-draft-booster-display-36-english,Magic the Gathering Innistrad: Crimson Vow Draft Booster Display (36) english,Title,Default Title,,,,,WOTCC90600000,,,3
wotcc90640001-magic-the-gathering-innistrad-crimson-vow-set-booster-display-30-english,Magic the Gathering Innistrad: Crimson Vow Set Booster Display (30) english,Title,Default Title,,,,,WOTCC90640001,,,3
wotcc92010001-magic-the-gathering-kamigawa-neon-dynasty-commander-decks-display-4-english,Magic the Gathering Kamigawa: Neon Dynasty Commander Decks Display (4) english,Title,Default Title,,,,,WOTCC92010001,,,3
wotcc91980001-magic-the-gathering-kamigawa-neon-dynasty-draft-booster-display-36-english,Magic the Gathering Kamigawa: Neon Dynasty Draft Booster Display (36) english,Title,Default Title,,,,,WOTCC91980001,,,3
wotcc91981050-magic-the-gathering-kamigawa-neon-dynasty-draft-booster-display-36-spanish,Magic the Gathering Kamigawa: Neon Dynasty Draft Booster Display (36) spanish,Title,Default Title,,,,,WOTCC91981050,,,3
wotcd03101000-magic-the-gathering-krieg-der-bruder-jumpstart-booster-display-18-german,Magic the Gathering Krieg der Brüder Jumpstart Booster Display (18) german,Title,Default Title,,,,,WOTCD03101000,,,3
wotcd17871030-magic-the-gathering-lavanzata-delle-macchine-draft-booster-display-36-italian,Magic the Gathering L'Avanzata delle Macchine Draft Booster Display (36) italian,Title,Default Title,,,,,WOTCD17871030,,,3
wotcd24681050-magic-the-gathering-las-tierras-salvajes-de-eldraine-set-booster-display-30-spanish,Magic the Gathering Las tierras salvajes de Eldraine Set Booster Display (30) spanish,Title,Default Title,,,,,WOTCD24681050,,,3
wotcd17871000-magic-the-gathering-marsch-der-maschine-draft-booster-display-36-german,Magic the Gathering Marsch der Maschine Draft Booster Display (36) german,Title,Default Title,,,,,WOTCD17871000,,,3
wotcd11300001-magic-the-gathering-phyrexia-all-will-be-one-set-booster-display-30-english,Magic the Gathering Phyrexia: All Will Be One Set Booster Display (30) english,Title,Default Title,,,,,WOTCD11300001,,,3
wotcd11301000-magic-the-gathering-phyrexia-alles-wird-eins-set-booster-display-30-german,Magic the Gathering Phyrexia: Alles wird eins Set Booster Display (30) german,Title,Default Title,,,,,WOTCD11301000,,,3
wotcd03060001-magic-the-gathering-the-brothers-war-draft-booster-display-36-english,Magic the Gathering The Brothers' War Draft Booster Display (36) english,Title,Default Title,,,,,WOTCD03060001,,,3
wotcd03110001-magic-the-gathering-the-brothers-war-set-booster-display-30-english,Magic the Gathering The Brothers' War Set Booster Display (30) english,Title,Default Title,,,,,WOTCD03110001,,,3
wotcd23880001-magic-the-gathering-the-lost-caverns-of-ixalan-draft-booster-display-36-english,Magic the Gathering The Lost Caverns of Ixalan Draft Booster Display (36) english,Title,Default Title,,,,,WOTCD23880001,,,3
wotcd23630001-magic-the-gathering-universes-beyond-doctor-who-commander-decks-display-4-english,Magic the Gathering Universes Beyond: Doctor Who Commander Decks Display (4) english,Title,Default Title,,,,,WOTCD23630001,,,3
wotcd24650001-magic-the-gathering-wilds-of-eldraine-draft-booster-display-36-english,Magic the Gathering Wilds of Eldraine Draft Booster Display (36) english,Title,Default Title,,,,,WOTCD24650001,,,3
wrc13419-pokemon-diecast-replica-poke-ball,Pokémon Diecast Replica Poké Ball,Title,Default Title,,,,,WRC13419,,,3
fk67453-barbie-pop-vinyl-figure-barbie-rewind-9-cm,Barbie POP! Vinyl Figure Barbie Rewind 9 cm,Title,Default Title,,,,,FK67453,,,3
grv92511-batman-backpack-logo,Batman Backpack Logo,Title,Default Title,,,,,GRV92511,,,3
gdl13147-batman-mug-logo,Batman Mug Logo,Title,Default Title,,,,,GDL13147,,,3
gdl14315-disney-bowl-mickey-kiss-sketch,Disney Bowl Mickey Kiss Sketch,Title,Default Title,,,,,GDL14315,,,3
gdl14314-disney-mug-mickey-kiss-sketch,Disney Mug Mickey Kiss Sketch,Title,Default Title,,,,,GDL14314,,,3
gdl14905-donald-duck-lunch-box-vintage,Donald Duck Lunch Box Vintage,Title,Default Title,,,,,GDL14905,,,3
gdl13769-donald-duck-mug-donald-in-the-car,Donald Duck Mug Donald In The Car,Title,Default Title,,,,,GDL13769,,,3
gdl14907-donald-duck-water-bottle-vintage,Donald Duck Water Bottle Vintage,Title,Default Title,,,,,GDL14907,,,3
gdl13284-fantastic-beasts-bowl-niffler,Fantastic Beasts Bowl Niffler,Title,Default Title,,,,,GDL13284,,,3
gdl13279-fantastic-beasts-mug-niffler,Fantastic Beasts Mug Niffler,Title,Default Title,,,,,GDL13279,,,3
grv93825-harry-potter-3d-tote-bag-hedwig,Harry Potter 3D Tote Bag Hedwig,Title,Default Title,,,,,GRV93825,,,3
gdl13282-harry-potter-bowl-hogwarts-express,Harry Potter Bowl Hogwarts Express,Title,Default Title,,,,,GDL13282,,,3
gdl13298-harry-potter-breakfast-set-gryffindor,Harry Potter Breakfast Set Gryffindor,Title,Default Title,,,,,GDL13298,,,3
grv94242-harry-potter-hot-water-bottle-platform-9-3-4,Harry Potter Hot Water Bottle Platform 9 3/4,Title,Default Title,,,,,GRV94242,,,3
gdl16998-harry-potter-lunch-box-coats-of-arms,Harry Potter Lunch Box Coats of Arms,Title,Default Title,,,,,GDL16998,,,3
gdl13273-harry-potter-mug-hogwarts-express,Harry Potter Mug Hogwarts Express,Title,Default Title,,,,,GDL13273,,,3
grv93501-harry-potter-purse-letter-of-acceptance,Harry Potter Purse Letter of Acceptance,Title,Default Title,,,,,GRV93501,,,3
grv91999-harry-potter-slippers-kawaii-harry-potter,Harry Potter Slippers Kawaii Harry Potter,Title,Default Title,,,,,GRV91999,,,3
grv91724-harry-potter-string-lights-gryffindor-crests,Harry Potter String Lights Gryffindor Crests,Title,Default Title,,,,,GRV91724,,,3
grv91725-harry-potter-string-lights-hogwarts-crests,Harry Potter String Lights Hogwarts Crests,Title,Default Title,,,,,GRV91725,,,3
